metric,area,comp,suff
accuracy,0.05,0.938561,0.945666
accuracy,0.075,0.932051,0.949138
accuracy,0.1,0.932051,0.949138
accuracy,0.15,0.928932,0.961291
auc,0.05,0.71748,0.857524
auc,0.075,0.637704,0.876811
auc,0.1,0.580805,0.891811
auc,0.15,0.522889,0.908864
cross_entropy,0.05,0.211269,0.155475
cross_entropy,0.075,0.241604,0.139434
cross_entropy,0.1,0.263568,0.125068
cross_entropy,0.15,0.281855,0.110766
