metric,area,comp,suff
accuracy,0.05,0.988932,0.979818
accuracy,0.075,0.987196,0.97895
accuracy,0.1,0.987196,0.978516
accuracy,0.15,0.984375,0.978299
auc,0.05,0.463056,0.380417
auc,0.075,0.458221,0.387358
auc,0.1,0.455171,0.402404
auc,0.15,0.451225,0.415132
cross_entropy,0.05,0.104787,0.121822
cross_entropy,0.075,0.106143,0.137922
cross_entropy,0.1,0.107297,0.127886
cross_entropy,0.15,0.109691,0.13133
