metric,area,comp,suff
accuracy,0.05,0.993924,0.99566
accuracy,0.075,0.993924,0.996962
accuracy,0.1,0.993924,0.996962
accuracy,0.15,0.993924,0.996962
auc,0.05,0.136201,0.138441
auc,0.075,0.133281,0.138441
auc,0.1,0.131937,0.138889
auc,0.15,0.127745,0.138889
cross_entropy,0.05,0.084066,0.084927
cross_entropy,0.075,0.083437,0.086901
cross_entropy,0.1,0.083251,0.088734
cross_entropy,0.15,0.083225,0.091769
