batch_index,explainer,metric,area,comp,suff
0,feature_ablation,mae,0.01,0.11407998204231262,2.335205078125
0,feature_ablation,mse,0.01,0.0016184743726626039,0.29509466886520386
0,feature_ablation,mae,0.02,0.24017073214054108,2.3662729263305664
0,feature_ablation,mse,0.02,0.005653971340507269,0.30454012751579285
0,feature_ablation,mae,0.05,0.27628612518310547,2.277493953704834
0,feature_ablation,mse,0.05,0.004651810508221388,0.2929394841194153
0,feature_ablation,mae,0.95,2.4097366333007812,0.1653342843055725
0,feature_ablation,mse,0.95,0.31350213289260864,0.0033025366719812155
0,feature_ablation,mae,0.99,2.3582115173339844,0.04721292108297348
0,feature_ablation,mse,0.99,0.29920729994773865,0.0002674205752555281
1,feature_ablation,mae,0.01,0.2565157115459442,2.0530197620391846
1,feature_ablation,mse,0.01,0.005512475501745939,0.3385946750640869
1,feature_ablation,mae,0.02,0.46469008922576904,2.0287957191467285
1,feature_ablation,mse,0.02,0.016501035541296005,0.34205710887908936
1,feature_ablation,mae,0.05,0.82200026512146,2.0018532276153564
1,feature_ablation,mse,0.05,0.038667164742946625,0.3380456566810608
1,feature_ablation,mae,0.95,1.8005796670913696,0.12442812323570251
1,feature_ablation,mse,0.95,0.2868235111236572,0.0012047940399497747
1,feature_ablation,mae,0.99,1.9380192756652832,0.01957019418478012
1,feature_ablation,mse,0.99,0.30593547224998474,2.671722904779017e-05
2,feature_ablation,mae,0.01,0.022233963012695312,0.90228271484375
2,feature_ablation,mse,0.01,0.00010642018605722114,0.04788849502801895
2,feature_ablation,mae,0.02,0.04565774276852608,0.9022715091705322
2,feature_ablation,mse,0.02,0.00022699045075569302,0.04781279340386391
2,feature_ablation,mae,0.05,0.16014060378074646,0.8577267527580261
2,feature_ablation,mse,0.05,0.0014654435217380524,0.04686395451426506
2,feature_ablation,mae,0.95,0.9254639744758606,0.04583163931965828
2,feature_ablation,mse,0.95,0.05174067243933678,0.00015196145977824926
2,feature_ablation,mae,0.99,0.9249302744865417,0.028250357136130333
2,feature_ablation,mse,0.99,0.05168041214346886,8.213283581426367e-05
