metric,area,comp,suff
accuracy,0.05,0.911257,0.973741
accuracy,0.075,0.911515,0.976562
accuracy,0.1,0.910647,0.97895
accuracy,0.15,0.913468,0.98329
auc,0.05,0.390116,0.595637
auc,0.075,0.38149,0.598212
auc,0.1,0.38301,0.598864
auc,0.15,0.363469,0.603235
cross_entropy,0.05,0.28537,0.154892
cross_entropy,0.075,0.288624,0.14787
cross_entropy,0.1,0.289569,0.1433
cross_entropy,0.15,0.293909,0.135117
