metric,area,comp,suff
mae,0.05,10.584966,14.046397
mae,0.075,11.919314,12.988427
mae,0.1,12.548481,12.377412
mae,0.15,13.643809,11.01691
mse,0.05,9.387604,12.970219
mse,0.075,11.041592,11.256293
mse,0.1,11.868519,10.329231
mse,0.15,13.411733,8.406315
