metric,area,comp,suff
mae,0.05,7.745052,23.734515
mae,0.075,10.545278,22.637964
mae,0.1,11.857487,22.078773
mae,0.15,13.956018,20.540627
mse,0.05,4.024679,30.458559
mse,0.075,7.038445,28.512936
mse,0.1,8.69909,27.580917
mse,0.15,12.07494,24.791322
