metric,area,comp,suff
mae,0.05,23.847029,89.096384
mae,0.075,33.021303,79.337865
mae,0.1,38.555543,73.459162
mae,0.15,51.075706,60.720776
mse,0.05,11.153421,105.533298
mse,0.075,19.906817,83.728022
mse,0.1,26.092908,71.942236
mse,0.15,42.215199,49.548677
