metric,area,comp,suff
mae,0.05,9.269474,15.061978
mae,0.075,10.79241,14.693667
mae,0.1,11.718537,14.454493
mae,0.15,13.879012,14.144844
mse,0.05,7.002468,14.961976
mse,0.075,8.800469,14.247425
mse,0.1,9.969881,13.849848
mse,0.15,13.182854,13.307938
