metric,area,comp,suff
mae,0.05,7.684276,14.160969
mae,0.075,9.372143,12.63984
mae,0.1,10.105234,12.07118
mae,0.15,11.204656,11.125604
mse,0.05,5.481745,12.988902
mse,0.075,7.614969,10.721849
mse,0.1,8.608845,9.903145
mse,0.15,10.068682,8.62846
