metric,area,comp,suff
mae,0.05,6.757308,21.756994
mae,0.075,7.932314,19.042048
mae,0.1,8.482909,17.510848
mae,0.15,9.607731,14.447324
mse,0.05,3.702549,28.315492
mse,0.075,4.771675,22.364098
mse,0.1,5.328768,19.269388
mse,0.15,6.58383,13.616843
