metric,area,comp,suff
mae,0.05,11.609387,11.696633
mae,0.075,12.445663,10.289909
mae,0.1,12.927749,9.452379
mae,0.15,13.778811,8.013303
mse,0.05,9.855019,9.532028
mse,0.075,10.992032,7.526798
mse,0.1,11.689753,6.434602
mse,0.15,12.978105,4.785179
