metric,area,comp,suff
mae,0.05,10.615433,26.392619
mae,0.075,12.769226,25.172259
mae,0.1,14.021962,24.604745
mae,0.15,16.136192,23.536168
mse,0.05,8.516914,40.475293
mse,0.075,11.934676,37.386346
mse,0.1,14.158898,35.978203
mse,0.15,18.274344,33.382111
