metric,area,comp,suff
accuracy,0.05,0.843348,0.798265
accuracy,0.075,0.807597,0.777826
accuracy,0.1,0.783332,0.755433
accuracy,0.15,0.742196,0.727358
auc,0.05,0.636308,0.541376
auc,0.075,0.622706,0.544079
auc,0.1,0.609909,0.540489
auc,0.15,0.603209,0.541465
cross_entropy,0.05,0.358626,0.44771
cross_entropy,0.075,0.426457,0.489773
cross_entropy,0.1,0.481658,0.527054
cross_entropy,0.15,0.570149,0.587358
