metric,area,comp,suff
accuracy,0.05,0.932131,0.914159
accuracy,0.075,0.929744,0.92075
accuracy,0.1,0.926489,0.922446
accuracy,0.15,0.922148,0.928876
auc,0.05,0.542947,0.741914
auc,0.075,0.517248,0.750963
auc,0.1,0.499695,0.754082
auc,0.15,0.477225,0.766705
cross_entropy,0.05,0.21626,0.247065
cross_entropy,0.075,0.231208,0.234203
cross_entropy,0.1,0.239084,0.228721
cross_entropy,0.15,0.249056,0.217888
