metric,area,comp,suff
mae,0.05,8.763785,23.770151
mae,0.075,10.678327,21.857039
mae,0.1,11.568732,20.730253
mae,0.15,13.34912,18.327583
mse,0.05,7.204452,32.806243
mse,0.075,9.815864,28.152613
mse,0.1,11.130688,25.594628
mse,0.15,13.88143,20.571775
