metric,area,comp,suff
mae,0.05,8.111972,14.467064
mae,0.075,9.291842,14.066697
mae,0.1,9.838014,13.870789
mae,0.15,10.757931,13.483796
mse,0.05,5.808037,13.995529
mse,0.075,7.055546,13.278072
mse,0.1,7.69809,12.923114
mse,0.15,8.882737,12.253168
