metric,area,comp,suff
mae,0.05,34.394054,32.92772
mae,0.075,47.257131,20.413204
mae,0.1,59.43506,8.721032
mae,0.15,69.611425,0.0
mse,0.05,49.737818,45.792955
mse,0.075,93.885602,17.740733
mse,0.1,148.486366,3.365157
mse,0.15,203.568624,0.0
