metric,area,comp,suff
mae,0.05,6.23054,16.014979
mae,0.075,7.615704,15.569034
mae,0.1,8.302008,15.314427
mae,0.15,9.557732,14.752722
mse,0.05,4.284779,16.724619
mse,0.075,5.487025,15.8258
mse,0.1,6.187793,15.335967
mse,0.15,7.639041,14.326618
