metric,area,comp,suff
mae,0.05,8.460058,18.42181
mae,0.075,10.341602,18.862069
mae,0.1,11.254793,19.07775
mae,0.15,12.896171,19.485739
mse,0.05,6.34375,21.627721
mse,0.075,8.451959,22.606838
mse,0.1,9.653131,23.09956
mse,0.15,12.099246,24.044867
