metric,area,comp,suff
mae,0.05,6.462113,12.784442
mae,0.075,8.007741,12.220437
mae,0.1,8.878775,11.845951
mae,0.15,10.834191,10.920236
mse,0.05,5.185615,11.527059
mse,0.075,6.671881,10.513726
mse,0.1,7.587235,9.863324
mse,0.15,9.858176,8.415438
