metric,area,comp,suff
accuracy,0.05,0.967938,0.974963
accuracy,0.075,0.966853,0.975694
accuracy,0.1,0.966419,0.976997
accuracy,0.15,0.96269,0.97739
auc,0.05,0.492063,0.544683
auc,0.075,0.459213,0.557559
auc,0.1,0.447492,0.565554
auc,0.15,0.412734,0.570556
cross_entropy,0.05,0.19042,0.167119
cross_entropy,0.075,0.198196,0.163667
cross_entropy,0.1,0.204513,0.160757
cross_entropy,0.15,0.21521,0.156734
