metric,area,comp,suff
accuracy,0.05,0.966934,0.972061
accuracy,0.075,0.966282,0.975317
accuracy,0.1,0.965197,0.974015
accuracy,0.15,0.961291,0.976402
auc,0.05,0.50236,0.508224
auc,0.075,0.458503,0.52993
auc,0.1,0.427858,0.535439
auc,0.15,0.383828,0.545265
cross_entropy,0.05,inf,0.170608
cross_entropy,0.075,inf,0.164566
cross_entropy,0.1,inf,0.162934
cross_entropy,0.15,inf,0.157261
