metric,area,value
accuracy,0.05,1.0
accuracy,0.075,1.0
accuracy,0.1,1.0
accuracy,0.15,1.0
comprehensiveness,0.05,0.0
comprehensiveness,0.075,0.0
comprehensiveness,0.1,0.0
comprehensiveness,0.15,0.0
cross_entropy,0.05,0.0
cross_entropy,0.075,0.0
cross_entropy,0.1,0.0
cross_entropy,0.15,0.0
log_odds,0.05,0.0
log_odds,0.075,0.0
log_odds,0.1,0.0
log_odds,0.15,0.0
sufficiency,0.05,0.0
sufficiency,0.075,0.0
sufficiency,0.1,0.0
sufficiency,0.15,0.0
