metric,area,comp,suff
mae,0.05,5.64222,16.219432
mae,0.075,6.595678,15.906415
mae,0.1,7.082604,15.725633
mae,0.15,8.014102,15.303463
mse,0.05,4.112059,17.23934
mse,0.075,4.838514,16.655096
mse,0.1,5.240632,16.322679
mse,0.15,6.064975,15.568583
