metric,area,comp,suff
accuracy,0.05,0.983427,0.986899
accuracy,0.075,0.982993,0.989937
accuracy,0.1,0.982993,0.993843
accuracy,0.15,0.982993,0.994711
auc,0.05,0.381571,0.401187
auc,0.075,0.369699,0.402778
auc,0.1,0.353953,0.402778
auc,0.15,0.332947,0.402778
cross_entropy,0.05,0.101751,0.102496
cross_entropy,0.075,0.104519,0.102968
cross_entropy,0.1,0.106942,0.103567
cross_entropy,0.15,0.109533,0.105834
