metric,area,comp,suff
mae,0.05,6.736474,26.647726
mae,0.075,7.144872,25.922026
mae,0.1,7.385745,25.427678
mae,0.15,8.088561,24.13272
mse,0.05,4.888057,41.20808
mse,0.075,5.301157,39.260317
mse,0.1,5.558358,37.948679
mse,0.15,6.325748,34.583128
